audio_path,客語漢字,客語拼音
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_002.wav,寒著愛戴嘴揞,hon113 do31 oi33 dai53 zhoi53 em33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_003.wav,你哪位毋鬆爽,hn113 ne53 vui53 m113 sung33 song31
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_004.wav,若手機幾多號,ngia33 shiu31 gi33 gid21 do33 ho53
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_005.wav,若功課做好吂,ngia33 gung33 ko53 zo53 ho31 mang113
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_006.wav,𠊎會細義兜,ngai113 voi33 se53 ngi53 deu35
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_007.wav,當歡喜認識你,dong33 fan33 hi31 ngin53 shid21 hn113
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_008.wav,實在還難相信,shid54 cai53 han113 nan113 siong33 sin53
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_009.wav,這個想法已好,lia31 gai53 siong31 fab21 i53 ho31
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_010.wav,勞瀝若个照顧,lo113 lad54 ngia33 gai33 zheu53 gu53
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_011.wav,使得無使毋得,sii31 ded21 mo113 sii31 m113 ded21
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_012.wav,你曉無無問題,hn113 hiau31 mo113 mo113 mun53 ti113
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_013.wav,𠊎已好食青菜,ngai113 i53 hau53 shid54 ciang33 coi53
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_014.wav,𠊎想學做麵包,ngai113 siong31 hog54 zo53 mien53 bau33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_015.wav,你愛食麼个飲料,hn113 oi33 shid54 ma31 gai33 rhim31 liau53
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_016.wav,阿叔毋慣著西裝,a33 shug21 m113 guan53 zhog21 si33 zong33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_017.wav,這皮包係麼人个,lia31 pi113 bau35 he53 ma31 ngin113 gai33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_018.wav,這雙鞋無幾合腳,lia31 sung33 he113 mo113 gid21 hab54 giog21
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_019.wav,臺灣不時有地動,toi113 van113 bud21 shi113 rhiu33 ti53 tung33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_020.wav,這位个民宿當靚,lia31 vui53 gai33 min113 siug21 dong33 ziang33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_021.wav,這位使毋得食菸,lia31 vui53 sii31 m113 ded21 shid54 rhen33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_022.wav,上課毋好啄目睡,shong53 ko53 m113 ho31 dug21 mug21 shoi53
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_023.wav,今晡日天時已好,gim33 bi33 ngid21 tien33 shi113 i53 ho31
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_024.wav,昨晡日無閒歸日,ca113 bi33 ngid21 mo113 han113 gui33 ngid21
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_025.wav,天時變到已涼爽,tien33 shi113 bien53 do53 i53 liong113 song31
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_026.wav,天光朝晨正聯絡,tien33 gong33 zheu33 shun113 zhang33 lien113 log54
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_027.wav,老妹揹書包去學校,lo31 moi53 ba113 shu33 bau35 ki53 hog54 gau31
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_028.wav,阿妹當好食菜頭粄,a33 moi53 dong33 hau53 shid54 coi53 teu113 ban31
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_029.wav,阿爸愛去申請護照,a33 ba33 oi33 ki53 shin33 ciang31 fu53 zheu53
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_030.wav,定定行毋使趕緊,tin53 tin53 hang113 m113 sii31 guan31 gin31
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_031.wav,寒天北部長在落雨,hon113 tien33 bed21 pu53 chong113 cai53 log54 rhi31
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_032.wav,毋好為著這來失志,m113 ho31 vui53 do31 lia31 loi113 shid21 zhi53
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_033.wav,係麼人打來个電話,he53 me31 ngin113 da31 loi113 gai33 tien53 fa53
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_034.wav,垃圾愛做資源回收,la31 sab21 oi33 zo53 zii33 ngien113 fui113 shiu33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_035.wav,請問需要麼个服務,ciang31 mun53 si33 rheu53 ma31 gai33 fug54 mu53
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_036.wav,恭喜發財新年快樂,giung33 hi31 fad21 cai113 sin33 ngien113 kuai53 log54
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_037.wav,𠊎愛你佢起譴咧,ngai113 oi53 hn113 gi113 ki31 kien31 le33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_038.wav,今晡日个菜口味仰脣,gim33 bi33 ngid21 gai33 coi53 kieu31 mui53 ngiong31 shun113
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_039.wav,請毋好在車肚食東西,ciang31 m113 ho31 to33 cha35 du31 shid54 dung33 si33
data/dataset_2/熱身賽_錄製語料_大埔腔_4H/DM203J2056/DM203J2056_040.wav,學生愛著制服去學校,hog54 sang33 oi33 zhog21 zhi53 fug54 ki53 hog54 gau31
