檔名,中文,客語漢字,客語拼音,標籤,備註
DF205J2067_001.wav,端午節要吃粽子,五月節愛食粽,ng31 ngied54 zied21 oi53 shid54 zung53,,食 :發音人讀音shib54，正確讀音為shid54
DF205J2067_002.wav,感冒要戴口罩,寒著愛戴嘴揞,hon113 do31 oi33 dai53 zhoi53 em33,,
DF205J2067_003.wav,你哪裡不舒服,你哪位毋鬆爽,hn113 ne53 vui53 m113 sung33 song31,,
DF205J2067_004.wav,你的手機幾號,若手機幾多號,ngia33 shiu31 gi33 gid21 do33 ho53,,
DF205J2067_005.wav,你的功課作好了沒,若功課做好吂,ngia33 gung33 ko53 zo53 ho31 mang113,,
DF205J2067_006.wav,我會小心一點,𠊎會細義兜,ngai113 voi53 se53 ngi53 deu35,,
DF205J2067_007.wav,很高興認識你,當歡喜認識你,dong33 fan33 hi31 ngin53 shid21 hn113,,認 :發音人讀音ngim53，正確讀音為ngin53
DF205J2067_008.wav,實在很難相信,實在還難相信,shid54 cai53 han113 nan113 siong33 sin53,,難 :發音人讀音nam113，正確讀音為nan113
DF205J2067_009.wav,這個想法很好,這個想法已好,lia31 gai53 siong31 fab21 i53 ho31,,"法 :發音人讀音為fad21，正確讀音為fab21
已 :發音人讀音rhi53，正確讀音為i53"
DF205J2067_010.wav,謝謝你的照顧,勞瀝若个照顧,lo113 lad54 ngia33 gai33 zheu53 gu53,,瀝 :發音人讀音lag54，正確讀音為led54
DF205J2067_011.wav,可以嗎不可以,使得無使毋得,sii31 ded21 mo113 sii31 m113 ded21,,
DF205J2067_012.wav,你會不會沒問題,你曉無無問題,hn113 hiau31 mo113 mo113 mun53 ti113,,問 :發音人讀音vun53，正確讀音為mun53
DF205J2067_013.wav,我很愛吃青菜,𠊎已好食青菜,ngai113 i53 hau53 shid54 ciang33 coi53,,已 :發音人讀音rhi53，正確讀音為i53
DF205J2067_014.wav,我想學做麵包,𠊎想學做麵包,ngai113 siong31 hog54 zo53 mien53 bau33,,
DF205J2067_015.wav,你要喝什麼飲料,你愛食麼个飲料,hn113 oi33 shid54 ma31 gai33 rhim31 liau53,,
DF205J2067_016.wav,叔叔不習慣穿西裝,阿叔毋慣著西裝,a33 shug21 m113 guan53 zhog21 si33 zong33,,
DF205J2067_017.wav,這皮包是誰的,這皮包係麼人个,lia31 pi113 bau33 he53 me31 ngin113 gai33,,
DF205J2067_018.wav,這雙鞋不太合腳,這雙鞋無幾合腳,lia31 sung33 he113 mo113 gid21 hab54 giog21,,"這 :發音人讀音liad21，正確讀音為lia31
幾 :發音人讀音gi31，正確讀音為gid21
合 :發音人讀音hag54，正確讀音為hab54"
DF205J2067_019.wav,台灣不時有地震,臺灣不時有地動,toi113 van113 bud21 shi113 rhiu33 ti53 tung33,,
DF205J2067_020.wav,這裡的民宿很漂亮,這位个民宿當靚,lia31 vui53 gai33 min113 siug21 dong33 ziang33,,
DF205J2067_021.wav,這裡禁止吸菸,這位使毋得食菸,lia31 vui53 sii31 m113 ded21 shid54 rhen33,,食 :發音人讀音shib54，正確讀音為shid54
DF205J2067_022.wav,上課不要打瞌睡,上課毋好啄目睡,shong53 ko53 m113 ho31 dug21 mug21 shoi53,,
DF205J2067_023.wav,今天天氣很好,今晡日天時已好,gim33 bi33 ngid21 tien33 shi113 i53 ho31,,已 :發音人讀音rhi53，正確讀音為i53
DF205J2067_024.wav,昨天忙了整天,昨晡日無閒歸日,ca113 bi33 ngid21 mo113 han113 gui33 ngid21,,
DF205J2067_025.wav,天氣變得很涼爽,天時變到已涼爽,tien33 shi113 bien53 do53 i53 liong113 song31,,已 :發音人讀音rhi53，正確讀音為i53
DF205J2067_026.wav,明天早上再聯絡,天光朝晨正聯絡,tien33 gong35 zheu33 shun113 zhang33 lien113 log54,,
DF205J2067_027.wav,妹妹背書包去上學,老妹揹書包去學校,lo31 moi53 ba113 shu33 bau33 ki53 hog54 gau31,,去 :發音人讀音為hi33，教育部辭典拼音為ki33，平常的確常有人會使用hi33的音
DF205J2067_028.wav,妹妹很喜歡吃蘿蔔糕,阿妹當好食菜頭粄,a33 moi53 dong33 hau53 shid54 coi53 teu113 ban31,,食 :發音人讀音shib54，正確讀音為shid54
DF205J2067_029.wav,爸爸要去申請護照,阿爸愛去申請護照,a33 ba33 oi33 ki53 shin33 ciang31 fu53 zheu53,,
DF205J2067_030.wav,慢慢走不用急,定定行毋使趕緊,tin53 tin53 hang113 m113 sii31 guan31 gin31,,
DF205J2067_031.wav,冬天北部經常下雨,寒天北部長在落雨,hon113 tien33 bed21 pu53 chong113 cai53 log54 rhi31,,
DF205J2067_032.wav,別為了這個喪氣,毋好為著這來失志,m113 ho31 vui53 do31 lia31 loi113 shid21 zhi53,,失 :發音人讀音shib21，正確讀音為shid21
DF205J2067_033.wav,是誰打來的電話,係麼人打來个電話,he33 me31 ngin113 da31 loi113 gai33 tien53 fa53,,
DF205J2067_034.wav,垃圾要做資源回收,垃圾愛做資源回收,la31 sab21 oi33 zo53 zii33 ngien113 fui113 shiu33,,源 :發音人讀音rhen113，正確讀音為ngien113
