檔名,中文,客語漢字,客語拼音,標籤,備註
DF101J2003_001.wav,端午節要吃粽子,五月節愛食粽,ng31 ngied54 zied21 oi33 shid54 zung53,,
DF101J2003_002.wav,感冒要戴口罩,寒著愛戴嘴落,hon113 do31 oi33 dai53 zhoi53 lab21,,
DF101J2003_003.wav,你哪裡不舒服,你哪位毋鬆爽,hn113 ne53 vui53 m113 sung33 song31,,
DF101J2003_004.wav,你的手機幾號,若手機幾多號,ngia33 shiu31 gi33 gid21 do33 ho53,,
DF101J2003_005.wav,你的功課作好了沒,若功課做好吂,ngia33 gung33 ko53 zo53 ho31 mang113,,
DF101J2003_006.wav,我會小心一點,𠊎會細義兜,ngai113 voi33 se53 ngi53 deu35,,
DF101J2003_007.wav,很高興認識你,當歡喜認識你,dong33 fan33 hi31 ngin53 shid21 hn113,,
DF101J2003_008.wav,實在很難相信,實在還難相信,shid54 cai53 han113 nan113 siong33 sin53,,
DF101J2003_009.wav,這個想法很好,這個想法已好,lia31 gai53 siong31 fab21 i53 ho31,,
DF101J2003_010.wav,謝謝你的照顧,勞瀝若个照顧,lo113 lad54 ngia33 gai33 zheu53 gu53,,
DF101J2003_011.wav,可以嗎不可以,使得無使毋得,sii31 ded21 mo113 sii31 m113 ded21,,
DF101J2003_012.wav,你會不會沒問題,你曉無無問題,hn113 hiau31 mo113 mo113 mun53 ti113,,
DF101J2003_013.wav,我很愛吃青菜,𠊎已好食青菜,ngai113 i53 hau53 shid54 ciang33 coi53,,
DF101J2003_014.wav,我想學做麵包,𠊎想學做麵包,ngai113 siong31 hog54 zo53 mien53 bau33,,
DF101J2003_015.wav,你要喝什麼飲料,你愛食麼个飲料,hn113 oi33 shid54 mag21 gai33 rhim31 liau53,,說話時的另一個音
DF101J2003_016.wav,叔叔不習慣穿西裝,阿叔毋慣著西裝,a33 shug21 m113 guan53 zhog21 si33 zong33,,
DF101J2003_017.wav,這皮包是誰的,這皮包係麼人个,lia31 pi113 bau35 he53 mag21 ngin113 gai33,,說話時的另一個音
DF101J2003_018.wav,這雙鞋不太合腳,這雙鞋無幾合腳,lia31 sung33 he113 mo113 gid21 hab54 giog21,,
DF101J2003_019.wav,台灣不時有地震,臺灣不時有地動,toi113 van113 bud21 shi113 rhiu33 ti53 tung33,,
DF101J2003_020.wav,這裡的民宿很漂亮,這位个民宿當靚,lia31 vui53 gai33 min113 siug21 dong33 ziang33,,
DF101J2003_021.wav,這裡禁止吸菸,這位使毋得食菸,lia31 vui53 sii31 m113 ded21 shid54 rhen33,,
DF101J2003_022.wav,上課不要打瞌睡,上課毋好啄目睡,shong53 ko53 m113 ho31 dug21 mug21 shoi53,,
DF101J2003_023.wav,今天天氣很好,今晡日天時已好,gim33 bi33 ngid21 tien33 shi113 i53 ho31,,
DF101J2003_024.wav,昨天忙了整天,昨晡日無閒歸日,ca113 bi33 ngid21 mo113 han113 gui33 ngid21,,
DF101J2003_025.wav,天氣變得很涼爽,天時變到已涼爽,tien33 shi113 bien53 do31 i53 liong113 song31,,發音人的發音
DF101J2003_026.wav,明天早上再聯絡,天光朝晨正聯絡,tien33 gong33 zheu33 shun113 zhang33 lien113 log54,,
