檔名,中文,客語漢字,客語拼音,標籤,備註
DM101J2004_001.wav,端午節要吃粽子,五月節愛食粽,ng31 ngied54 zied21 oi53 shid54 zung53,,
DM101J2004_002.wav,感冒要戴口罩,寒著愛戴嘴落,hon113 do31 oi33 dai53 zhoi53 lab21,,
DM101J2004_003.wav,你哪裡不舒服,你哪位毋鬆爽,hn113 ne53 vui53 m113 sung33 song31,,
DM101J2004_004.wav,你的手機幾號,若手機幾多號,ngia33 shiu31 gi33 gid21 do33 ho53,,
DM101J2004_005.wav,你的功課作好了沒,若功課做好吂,ngia33 gung33 ko53 zo53 ho31 mang113,,
DM101J2004_006.wav,我會小心一點,𠊎會細義兜,ngai113 voi33 se53 ngi53 deu35,,
DM101J2004_007.wav,很高興認識你,當歡喜認識你,dong33 fan33 hi31 ngin53 shid21 hn113,,
DM101J2004_008.wav,實在很難相信,實在還難相信,shid54 cai53 han113 nan113 siong33 sin53,,
DM101J2004_009.wav,這個想法很好,這個想法已好,lia31 gai53 siong31 fab21 i53 ho31,,
DM101J2004_010.wav,謝謝你的照顧,勞瀝若个照顧,lo113 lad54 ngia33 gai33 zheu53 gu53,,
DM101J2004_011.wav,可以嗎不可以,使得無使毋得,sii31 ded21 mo113 sii31 m113 ded21,,
DM101J2004_012.wav,你會不會沒問題,你曉無無問題,hn113 hiau31 mo113 mo113 mun53 ti113,,
DM101J2004_013.wav,我很愛吃青菜,𠊎已好食青菜,ngai113 i53 hau53 shid54 ciang33 coi53,,
DM101J2004_014.wav,我想學做麵包,𠊎想學做麵包,ngai113 siong31 hog54 zo53 mien53 bau33,,
DM101J2004_015.wav,你要喝什麼飲料,你愛食麼个飲料,hn113 oi33 shid54 ma31 gai33 rhim31 liau53,,
DM101J2004_016.wav,叔叔不習慣穿西裝,阿叔毋慣著西裝,a33 shug21 m113 guan53 zhog21 si33 zong33,,
DM101J2004_017.wav,這皮包是誰的,這皮包係麼人个,lia31 pi113 bau35 he53 ma31 ngin113 gai33,,
DM101J2004_018.wav,這雙鞋不太合腳,這雙鞋無幾合腳,lia31 sung33 he113 mo113 gid21 hab54 giog21,,
DM101J2004_019.wav,台灣不時有地震,臺灣不時有地動,toi113 van113 bud21 shi113 rhiu33 ti53 tung33,,
DM101J2004_020.wav,這裡的民宿很漂亮,這位个民宿當靚,lia31 vui53 gai33 min113 siug21 dong33 ziang33,,
DM101J2004_021.wav,這裡禁止吸菸,這位使毋得食菸,lia31 vui53 sii31 m113 ded21 shid54 rhen33,,
DM101J2004_022.wav,上課不要打瞌睡,上課毋好啄目睡,shong53 ko53 m113 ho31 dug21 mug21 shoi53,,
DM101J2004_023.wav,今天天氣很好,今晡日天時已好,gim33 bi33 ngid21 tien33 shi113 i53 ho31,,
DM101J2004_024.wav,昨天忙了整天,昨晡日無閒歸日,ca113 bi33 ngid21 mo113 han113 gui33 ngid21,,
DM101J2004_025.wav,天氣變得很涼爽,天時變到已涼爽,tien33 shi113 bien53 do53 i53 liong113 song31,,
DM101J2004_026.wav,明天早上再聯絡,天光朝晨正聯絡,tien33 gong33 zheu33 shun113 zhang31 lien113 log54,,正 :正確讀音zhang33
DM101J2004_027.wav,妹妹背書包去上學,老妹揹書包去學校,lo31 moi53 ba113 shu33 bau35 ki53 hag54 gau31,,學 :正確讀音hog54
DM101J2004_028.wav,妹妹很喜歡吃蘿蔔糕,阿妹當好食菜頭粄,a33 moi53 dong33 hau53 shid54 coi53 teu113 ban31,,
DM101J2004_029.wav,爸爸要去申請護照,阿爸愛去申請護照,a33 ba33 oi33 ki53 shin33 ciang31 fu53 zheu53,,
DM101J2004_030.wav,慢慢走不用急,定定行毋使趕緊,tin53 tin53 hang113 m113 sii31 guan31 gin31,,
DM101J2004_031.wav,冬天北部經常下雨,寒天北部長在落雨,hon113 tien33 bed21 pu53 chong113 cai53 log54 rhi31,,
DM101J2004_032.wav,別為了這個喪氣,毋好為著這來失志,m113 ho31 vui53 do31 lia31 loi113 shid21 zhi53,,
DM101J2004_033.wav,是誰打來的電話,係麼人打來个電話,he53 ma31 ngin113 da31 loi113 gai33 tien53 fa53,,
DM101J2004_034.wav,垃圾要做資源回收,垃圾愛做資源回收,la31 sab21 oi33 zo53 zii33 ngien113 fui113 shiu33,,
DM101J2004_035.wav,請問需要什麼服務,請問需要麼个服務,ciang31 mun53 si33 rheu53 ma31 gai33 fug54 mu53,,
DM101J2004_036.wav,恭喜發財新年快樂,恭喜發財新年快樂,giung33 hi31 fad21 cai113 sin33 ngien113 kuai53 log54,,
DM101J2004_037.wav,我愛你他生氣了,𠊎愛你佢起譴咧,ngai113 oi53 hn113 gi113 ki31 kien31 le33,,
DM101J2004_038.wav,今天的菜口味如何,今晡日个菜口味仰脣,gim33 bi33 ngid21 gai33 coi53 kieu31 mui53 ngiong31 shun113,,
DM101J2004_039.wav,請不要在車裡吃東西,請毋好在車肚食東西,ciang31 m113 ho31 to33 cha33 du31 shid54 dung33 si33,,
DM101J2004_040.wav,學生要穿制服去學校,學生愛著制服去學校,hog54 sang35 oi33 zhog21 zhi53 fug54 ki53 hog54 gau31,,
DM101J2004_041.wav,伯伯住的樓房有電梯,阿伯戴个樓屋有電梯,a33 bag21 dai53 gai33 leu113 vug21 rhiu33 tien53 toi33,,
