檔名,中文,客語漢字,客語拼音,標籤,備註
ZF101P2007_001.wav,端午節要吃粽子,五月節愛食餡粽,m31 ngied43 zied24 oi31 shied43 am11 zung31,,
ZF101P2007_002.wav,感冒要戴口罩,寒著愛戴嘴揞,hon53 choo55 oi31 doi31 zhe31 em11,,
ZF101P2007_003.wav,你哪裡不舒服,你哪位毋堵好,hen53 ni55 bbi55 m55 du31 hoo31,,
ZF101P2007_004.wav,你的手機幾號,你个手機幾*多號,hen53 e55 shiu31 gi11 gi31*doo11 gio33 hoo55,,
ZF101P2007_005.wav,你的功課作好了沒,你个功課做好吂,hen53 e55 gung11 koo31 zoo31 hoo31 mang11,,
ZF101P2007_006.wav,我會小心一點,𠊎會細義一兜,ngai53 bbue55 se31 ngi55 rhid24 deu11,,
ZF101P2007_007.wav,很高興認識你,真歡喜識你,zhin11 fan11 hi31 shid24 hen53,,
ZF101P2007_008.wav,實在很難相信,實在足難相信,shid43 cai55 ziu24 nan53 siong55 sin31,,
ZF101P2007_009.wav,這個想法很好,這個想法真誠好,li24 gai31 siong55 fad24 zhin11 shang53 hoo31,,
ZF101P2007_010.wav,謝謝你的照顧,勞力你个照顧,loo31 lad43 hen53 e55 zhio31 gu31,,
ZF101P2007_011.wav,可以嗎不可以,會用無毋會用,bbue55 rhung55 mo53 m11 bboi55 rhung55,,
ZF101P2007_012.wav,你會不會沒問題,你會無無問題,hen53 bbue55 mo53 mo53 bbun55 te53,,
ZF101P2007_013.wav,我很愛吃青菜,𠊎真愛食青菜,ngai53 zhin11 oi31 shied43 ciang11 coi31,,
ZF101P2007_014.wav,我想學做麵包,𠊎想討學做麵包,ngai53 siong55 too31 hoo55 zoo31 mien55 bau11,,
ZF101P2007_015.wav,你要喝什麼飲料,你愛啉麼个飲料,hen53 oi31 lim11 bboo24 gai31 rhim31 leeu55,,
ZF101P2007_016.wav,叔叔不習慣穿西裝,阿叔毋會慣勢著西裝,a11 shu24 m11 bboi55 guan31 she31 zhoo24 se11 zong11,,
