檔名,中文,客語漢字,客語拼音,標籤,備註
ZM113P2101_001.wav,他生氣了,佢起性地啊,gui53 ki31 sim31 ti55 a33,,
ZM113P2101_002.wav,好久不見,恁久無䀴著,ngin31 giu31 mo53 ngiang31 choo55,,
ZM113P2101_003.wav,我回來了,𠊎轉來啊,ngai53 zhen31 loi53 a11,,
ZM113P2101_004.wav,你要去哪裡,你討去哪位,hen53 too31 kui31 ni55 bbi55,,
ZM113P2101_005.wav,好可愛喔,真得人惜哦,zhin11 did24 ngin53 sia24 o24,,
ZM113P2101_006.wav,好討厭喔,真得人慼哦,zhin11 did24 ngin53 cied24 o24,,
ZM113P2101_007.wav,媽媽還沒回家,阿依猶吂轉,a11 i55 ia53 mang11 zhen31,,
ZM113P2101_008.wav,有空來玩,有閒正來尞,rhiu11 heen53 zhiang31 loi53 leeu55,,
ZM113P2101_009.wav,你太太很漂亮,你夫娘真靚,hen53 bun11 ngiong53 zhin11 ziang11,,
ZM113P2101_010.wav,把燈關掉,拁電火關莫,ga11 teen55 foo31 guan11 mai31,,
ZM113P2101_011.wav,開車要小心,駛車愛細義,su31 cha11 oi31 se31 ngi55,,
ZM113P2101_012.wav,搭飛機比較快,坐飛機較緊,coo11 bui11 gi11 ka31 gin31,,
ZM113P2101_013.wav,感冒要戴口罩,寒著愛戴嘴揞,hong53 choo55 oi31 dai31 zhe31 am11,,
ZM113P2101_014.wav,你哪裡不舒服,你哪位毋堵好,hen53 ni55 bbi55 m55 du31 hoo31,,
ZM113P2101_015.wav,實在很難相信,實在足難相信,shid43 cai55 ziog24 nan53 siong11 sin31,,
ZM113P2101_016.wav,謝謝你的照顧,勞力你个照顧,loo31 lad43 hen53 e55 zhio31 gu31,,
ZM113P2101_017.wav,上課不要打瞌睡,上課毋好啄睡,shiong11 koo31 m55 honn31 du24 fe55,,
ZM113P2101_018.wav,今天天氣很好,今日天氣真好,gin11 ngid24 teen11 ki31 zhin11 hoo31,,
ZM113P2101_019.wav,昨天忙了整天,昨日無閒歸日,ca11 ngid24 mo53 heen53 gui11 ngid24,,
ZM113P2101_020.wav,不好意思沒關係,歹勢無要緊,painn31 she31 mo53 rhio31 gin31,,
ZM113P2101_021.wav,讓我想一下,得𠊎想一下,ded24 ngai53 siong55 rhid24 ha55,,
ZM113P2101_022.wav,有人在家嗎,有人在屋下無,rhiu11 ngin53 da55 bbu24 ha11 mo53,,
ZM113P2101_023.wav,爸爸不在家,阿怙無在屋下,a11 u24 mo53 da55 bbu24 ha11,,
ZM113P2101_024.wav,她丈夫很英俊,厥丈夫真緣投,gua55 chong55 bu11 zhin11 rhen53 teu53,,
ZM113P2101_025.wav,抱歉打擾了,歹勢攪吵啊,painn31 she31 giau55 ca31 a11,,
ZM113P2101_026.wav,你要趕時間嗎,你愛攔時間無,hen53 oi31 lan53 shi53 geen11 mo53,,
ZM113P2101_027.wav,有什麼問題嗎,有麼个問題無,rhiu11 bboo24 gai31 bbun55 te53 mo53,,
ZM113P2101_028.wav,你想得真周到,你想到真周到,hen53 siong55 doo31 zhin11 zhiu11 doo31,,
ZM113P2101_029.wav,最近忙什麼,這站無閒麼个,li24 cam55 mo53 heen53 bboo24 gai31,,
ZM113P2101_030.wav,你遲到了,你傷慢到位啊,hen53 shiong55 meen55 doo31 bbi55 a33,,
ZM113P2101_031.wav,我要睡午覺,𠊎愛睡當晝,ngai53 oi31 fe55 dong11 zhiu31,,
ZM113P2101_032.wav,請在這裡左轉,請在這斡倒裡,ciang31 da55 li24 uannd43 doo31 le31,,
ZM113P2101_033.wav,端午節要吃粽子,五月節愛食餡粽,m31 ngied43 zied24 oi31 shied43 am11 zng31,,
